weapon_id,weapon_name,weapon_type,weapon_skill,weapon_bal_modifier,weapon_gdp_modifier,weapon_weight,weapon_price,weapon_length,weapon_min_strength,weapon_damage_type,weapon_tier,weapon_hit_points,weapon_description
MELEE-000,Foice Curta,Armas Exóticas,ARMAS EXÓTICAS | FOICE,1,0,0.6,50,0.3,6,"Corte, Perfuração",Comum,10,"Trata-se, apenas e tão somente de um gancho.  É uma arma curta e pouco versátil, mas pode machucar muito um inimigo com um golpe no abdômem."
MELEE-001,Foice Curta,Armas Exóticas,ARMAS EXÓTICAS | FOICE,2,0,0.5,100,0.3,6,"Corte, Perfuração",Boa,20,"Trata-se, apenas e tão somente de um gancho.  É uma arma curta e pouco versátil, mas pode machucar muito um inimigo com um golpe no abdômem."
MELEE-002,Foice Curta,Armas Exóticas,ARMAS EXÓTICAS | FOICE,2,1,0.5,200,0.3,6,"Corte, Perfuração",Superior,30,"Trata-se, apenas e tão somente de um gancho.  É uma arma curta e pouco versátil, mas pode machucar muito um inimigo com um golpe no abdômem."
MELEE-003,Foice Curta,Armas Exóticas,ARMAS EXÓTICAS | FOICE,3,1,0.5,400,0.3,6,"Corte, Perfuração",Excelente,40,"Trata-se, apenas e tão somente de um gancho.  É uma arma curta e pouco versátil, mas pode machucar muito um inimigo com um golpe no abdômem."
MELEE-004,Foice Curta,Armas Exóticas,ARMAS EXÓTICAS | FOICE,3,2,0.5,800,0.3,6,"Corte, Perfuração",Obra-Prima,50,"Trata-se, apenas e tão somente de um gancho.  É uma arma curta e pouco versátil, mas pode machucar muito um inimigo com um golpe no abdômem."
MELEE-005,Foice,Armas Exóticas,ARMAS EXÓTICAS | FOICE,2,0,3,100,1.2,6,"Corte, Perfuração",Comum,10,Um utensílio agrícola que teve sua função original deturpada. Muito utilizada por camponeses e escravos em revoltas contra seus senhores.
MELEE-006,Foice,Armas Exóticas,ARMAS EXÓTICAS | FOICE,3,0,2.9,200,1.2,6,"Corte, Perfuração",Boa,20,Um utensílio agrícola que teve sua função original deturpada. Muito utilizada por camponeses e escravos em revoltas contra seus senhores.
MELEE-007,Foice,Armas Exóticas,ARMAS EXÓTICAS | FOICE,3,1,2.8,400,1.2,6,"Corte, Perfuração",Superior,30,Um utensílio agrícola que teve sua função original deturpada. Muito utilizada por camponeses e escravos em revoltas contra seus senhores.
MELEE-008,Foice,Armas Exóticas,ARMAS EXÓTICAS | FOICE,4,1,2.7,800,1.2,6,"Corte, Perfuração",Excelente,40,Um utensílio agrícola que teve sua função original deturpada. Muito utilizada por camponeses e escravos em revoltas contra seus senhores.
MELEE-009,Foice,Armas Exóticas,ARMAS EXÓTICAS | FOICE,4,2,2.6,1600,1.2,6,"Corte, Perfuração",Obra-Prima,50,Um utensílio agrícola que teve sua função original deturpada. Muito utilizada por camponeses e escravos em revoltas contra seus senhores.
