armor_id,armor_box_name,armor_name,armor_piece_location,armor_type,armor_tier,armor_damage_resistence,armor_weight,armor_price,armor_hit_points,armor_description
ARMOR-000,Capuz | Comum,Capuz,Cabeça,Leve,Comum,2,1.50,100,10,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-001,Capuz | Boa,Capuz,Cabeça,Leve,Boa,3,1.40,200,15,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-002,Capuz | Superior,Capuz,Cabeça,Leve,Superior,4,1.30,400,20,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-003,Capuz | Excelente,Capuz,Cabeça,Leve,Excelente,5,1.20,800,25,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-004,Capuz | Obra-Prima,Capuz,Cabeça,Leve,Obra-Prima,6,1.10,1600,30,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-005,Capacete | Comum,Capacete,Cabeça,Média,Comum,4,2.50,200,20,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-006,Capacete | Boa,Capacete,Cabeça,Média,Boa,5,2.40,400,25,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-007,Capacete | Superior,Capacete,Cabeça,Média,Superior,6,2.30,800,30,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-008,Capacete | Excelente,Capacete,Cabeça,Média,Excelente,7,2.20,1600,35,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-009,Capacete | Obra-Prima,Capacete,Cabeça,Média,Obra-Prima,8,2.10,3200,40,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
